PLAYER,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
McKinley Wright IV,32,32,32.60,5.60,11.60,0.48,4.70,8.70,0.54,0.90,2.90,0.30,3.20,3.80,0.84,0.80,3.50,4.30,5.70,1.10,0.30,2.10,1.60,15.20
Jeriah Horne,32,9,24.50,3.80,8.40,0.46,2.20,4.30,0.51,1.60,4.10,0.40,1.50,1.70,0.91,1.10,4.70,5.80,0.90,0.60,0.10,1.10,1.60,10.80
Evan Battey,32,32,25.70,3.40,6.80,0.50,3.30,6.30,0.53,0.10,0.50,0.12,3.30,3.90,0.83,1.90,3.30,5.30,1.00,0.40,0.30,1.60,2.50,10.10
D'Shawn Schwartz,30,29,28.00,3.30,7.90,0.41,1.70,4.10,0.42,1.50,3.80,0.40,1.30,1.70,0.73,1.00,3.10,4.10,1.30,0.50,0.10,1.50,2.20,9.30
Jabari Walker,26,0,14.20,2.70,5.10,0.53,1.80,3.40,0.53,0.90,1.70,0.52,1.30,1.70,0.78,1.30,3.00,4.30,0.50,0.50,0.50,1.10,2.10,7.60
Dallas Walton,26,23,14.90,2.10,3.80,0.55,1.80,3.10,0.57,0.30,0.70,0.47,1.90,2.20,0.85,0.80,2.00,2.80,0.50,0.50,0.70,0.90,2.30,6.50
Maddox Daniels,32,3,18.30,1.80,4.80,0.38,0.70,1.60,0.40,1.20,3.20,0.37,0.40,0.50,0.87,0.40,1.90,2.40,1.00,0.50,0.10,0.50,1.40,5.30
Elijah Parquet,31,31,28.00,1.90,4.00,0.48,1.20,2.20,0.52,0.70,1.80,0.42,0.70,0.70,0.91,0.50,1.60,2.10,1.30,0.80,0.70,1.00,2.10,5.20
Keeshawn Barthelemy,30,1,11.50,1.40,4.00,0.35,0.80,2.10,0.40,0.60,1.90,0.30,0.40,0.40,0.92,0.20,0.50,0.80,1.40,0.20,0.20,0.70,0.40,3.70
Tristan Da Silva,24,0,9.30,1.10,2.10,0.53,1.00,1.50,0.64,0.20,0.60,0.27,0.30,0.50,0.58,0.30,0.70,1.00,0.30,0.30,0.10,0.60,1.00,2.70
Luke O'Brien,10,0,4.50,0.60,1.40,0.43,0.40,0.70,0.57,0.20,0.70,0.29,0.10,0.40,0.25,0.30,0.40,0.70,0.20,0.10,0.00,0.00,0.40,1.50
Nique Clifford,14,0,4.00,0.20,1.50,0.14,0.10,1.10,0.07,0.10,0.40,0.33,0.40,0.60,0.67,0.00,0.30,0.30,0.40,0.40,0.10,0.10,0.60,1.00
Isaac Jessup,4,0,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,1.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.30,0.50
Benan Ersek,1,0,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Owen Koonce,2,0,1.00,0.00,0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00
Will Loughlin,2,0,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aidan McQuade,2,0,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alexander Strating,10,0,2.50,0.00,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.30,0.50,0.10,0.00,0.10,0.10,0.40,0.00